id,type,subject,prompt,answer,canary
33,选择题,化学,pv7rp/DGpP3yxP7PscSptM3osfTPemOh7sS1o+61wsmo1a2n44632POuzZez39yxr8Kr9t2m6prG0PSIzNGegemy08DG4M2K0vlIbH1DjOrjht/FpYLfisCy3Y3z1qWF077vyIjuhbuC3YCh166CgrO2F3JPENC+74T40avL1avdzay026fc0cfJzKrY7aGO8KHu/7et1Lfq+qfSoaTegbXi/6rOonQGdnTIxOup2d+hk7OE0tWFytTFzfWswYWdxsKH5OfI1suP1fGH3cimudON2r/du/3UuarQufLKruWHuqDchLfXo5qFi63Qs9bWmqWG38mh8tms9cu3xqenwdY=,AAY=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
34,问答题,化学,pcv+pdTEcGJ7ACktdKSq863K8Kn6jqfC2aPolKbJ7qzG3snEycjD0abTyhB6dW10TSAiYwVuC08SIC5dh8LNxv3jr/KSl97pie3YyMPyjODYh938p5XrhMqS3ojQ1qeVBxEPQRRRTARAVlQXfA19Il/SjYaHhofe3u2q6++k5tqmws3Gx/KywqW2zvqx9M/Iyfaz9cPI59G2/vW3quG2hMqp8diojPWj0dnIzPOo9PGjlJaF19yE/eHIzuem+KiQzMGK29LI3PuB7NyE5+gxcoDa3AQWAouPpA==,d30=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
35,问答题,化学,pND+puXrpPz9xt//ss6wts/1vfPDxPbFseLfxcTnttnIu73ftpjoq8rlqantoPftx+j+qsnporSkKFWJ3OOem9uy8tfG5uaK0u+Ng9CG5u2Gwc625oqA2tx/WUUBQA1SRFASRdfh4H4Z3oOr1rOxhKG43rfw1b2rhf7xrezooOLAtNOuoPnupZvWrtPcq96kqv3yovWtpNXno93bxf3pxcDIpNnfxcTJvtSHoPLEOjo3QU4EDRdBGwpPMycmNEkbjdnnhPKptuzGje3eg8j33tnxgYir1fq3wom61dq50v3r0JOx3ZyqyLDX14+h1v253YfBhtjBqNb4qOz0raDjqeDpw9PKqcD8oY3ooPjztLv/t+vKpOKmpNaWt+vxrfaatsXEsYTopsvjqcGYyff4ht71nrrDs9DyxMXxh+7+h5HfhtDTi8bYtOS9jOXM1LyFg6ah066eh72Shv6qyqO83Z210P2b3Iiphpe41tnypNvKpNLJp8v9xPnSt8GitsfpsfTExtj8v9jwz/3ctcnXt43nto7mqdPFqan9osjSxeLoqef4o7mJhv3GhcjtxcrUrP2Unevoi9PZyOTRjt7hhereqYXUitm00Iz91Y2C0avmyo/yhKup1oS017abhLq504n+1bqghe/yofTFrPXBtvG7ocTjp7zaA3uz1fLE89ax/sHG39S338Ufbwe8nNilxtirkcqjxN3G0/Sl4+ajsJaM3eeC8vtrc7PQ8sTF8YDf/YyX3YTC7oj13LfYjIPR3dyEv4G2m9GOsYaVnof7g8W6ptyIgNP9ugzTiMvVu66HzNKq8s+u4s6284qhz8ukjcOt0tKpy4qq/dig15anzNCt/sPJw+jHysikx9HF+dW+3LCm2uKqzsfGn/pZitnYnK7YsOTUx+LmgPPzjo3Uhs/nitvuvv2gTFJGHwgTSAMNHBoZUwIATVAaGRULFwQEGUkBGwMcUh8BHVNOdmxia3tidX56D3BtZm4UemRnZ2NwDHxqYmlgD3VweWlpYQ91fxBwYHBmegl4bWh4EWB6YHphcQcMS1BBVV5KD3N5eW0AQ0KC/uWAg+mLx8SJzfK54JKC+ujchL+Bla/TqK2KgpGH+4PJhKvfpJzSw4DRua+EnaXX/OWkzd6s9MGp7dLH48yz45O2xdq9+OzF/sOy/d/E/cq1+8m1iPK2jsqvwcumoNih4/DE9fSqysSgoZmE++qH6tbP+9mu346d6+iL1NrK6OyM6v+E6+GnisqH47Dfh8TUt7HSieLKk+yHuLjRjJDUlY+Gm7nSjs/VuqmH3OCi1McDeabp2MbaxbfBorb4ybP86sb+0bPZ+hJxYGAOqPm4p+uJtd7NeH8QExU5s7rLp+fRq8ulxNvqi+7/nJrTuvXIxffNgdXGj7bnhefAiff6t8mqjMDN1J+DgIuXVlEcLMqu5YWept+ugda0g4aAj9Gp19SIooHhwK3h9KDj4LXlt6HJ0qe+w6/t5qnKv6voxqPasKjE/qLb1snV/cj33q71xsXZ0Lzprar06qbyzMuy74bM0pf3v6L42aO6/IT47Ibku7X10IDS7IbRww==,c3d+rPTBMiJ5xtnDsc22,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
36,问答题,化学,p/L8pNfoIjVmbqPa7KePx6/f06rHkwVxsNzkxPzDv/nNtKnBtbzZqc/Wq43EoePRxv3xq9TOoZaphc3Ph+XyyPr5ofmUn/jhiPXRyMPyjOr/hPHOpYDihf2L357t1omS04Htyq7lhoig3p+D35G5hK6k0ZDm1bqphtn4qvLPaGVxeTMMdGosbRB4MGZ5bGwRYXF7PX4SbmR7PW1hD3V+WHlgYWF8D2BuIHgTYHphMWJ0ARROGUdNUlETaGFkPAxJTVFDG0QffFdCHUdPRXlzFVBJHh8KHFAYVRkEHlYGTEhOFQUKFwwdVRlRGEwbAU4EGElLTWJtfmgwYXB9fw08bWduFH4wZnlsbBFhcXs9fhNuZH09bWILOXoOcKj6x6ag2KPq9cbTx6vp+qCzr4fZ54fe2MXo7K7jkJ7iwo3j6sj9/YDP4oXQ2qSE84TWnRXV1J3EoZjY9oPd9N3RlYMJCwQDAxFe24u8ibC5UgVMDKLUx67U97rIvqHO1qe146z37y15E2BxY3FrDqn/56L6y8XG6UM3YQ+t9o2z39waDQFjAqDa68aH8Y7S7ZXLnqD056GoyIbdxIfVoLzf5YDj9oHszN7c2IOJntDksQ==,c3V3,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
37,问答题,化学,p8nYptjFptviYaD57qi9za7b66n0pKjF8aHqm6fH36DE0cf182209M+v/oez39yxrNmr3MGpzIfP3+2L0fRIE2lieHZHOYbd4IvXqrrk5oLtzoL5wd3F/4+2gNbhtsi9sNTtoNHb9tC9t9eEvMiL9ta8h9TZvdOL1IbL7Aym2sGn6P3G8vMXrpzfrf/TDqKU2aDRxbewz7Toy6ntp6jUr7jByKDLmLLy77Gwx6HwxavPjsXmxIbe9ZCnyLLhxMfZyYzr242U5Ybs4Ivr47TOt4HY8tyEv4OnstO+oYW3sIfSocmEq921hdzim923qoS1kNnd5qvCwaTSyabU1Mfb8rPAkLXy+bP69sT26Ln53sX/x7XN8WYOcWMUN6j5xKia4qLR/cj75q/JzKOgh4bp2IfK0MX986b4rDWF/+qG5bi718GB1u2D4ebf6++Diazc2L/KoanX6r3R5NXTsbDQhrPIidvVhJDV7abTscWG2MEKrPTBBbfbi6Lx83AQfXt3cK/EoqfFzK3tp6n+8aLvxcf6ysXX9gWs3KwVosLQxcPYqeTooJKvgOHs,Eid8DHthYWAbQguD4xFCHHpvs8TSAB4nZQpm,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
38,问答题,机械工程,pPXaq/nsp+Lfx9TCstGatvDpsfTEx+nIsNLkydbktf35tLXxt5jqbHB8PQCz39ywmM+n1P+o/YfF2ceGz9OWnMux8uEATQ9KHUOPt9eH0e+L7uK4waWB2MDauKmMjKrQkpaEnaCE07fOubrQnpPT2ZrRjZaHvLzXze6nyMmq49VhYXtNZKXsysnKxW9lYnUVrMHVosikqffUoP/ZyMHfxd/UpMXYz+jJvuS0qN7PrP7DyJjKhNTHl+usrv7RoZrehf/qhf2dte7HgvrLg8bh3d7dgaeN2uSyyK6o1P6d3fzA1q273aSYDQZRAwRaEISUsdfr4arr/qb12KbIz8b86LH7hrfw9XggpqTNptbHuo/UucfrpPy+qMqltcv7rsCQeSm60KOo1Miu0trLjv2IxfmXw4ao6cWhre2G2OOH0Je00tqG7uE=,cHx8dg==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
39,问答题,机械工程,pv3Op/DnqNXExenVs9uktsX3s/nFx/3+sNDiYzC13+ql6YWk7rO2/PWs6qSx2fCwmM+q9OOoxLzFzfuJ+/afkPOw7fAAEEKD+dWBrcmL1uKI99O42ryB/s7XgLOAi4fdkbWHg66H9YPErozRp5nc+6fRsbWHhbTW2e6q6uuqz8Kk/9/H3sWy8ZS29tiwxPTH1MG5+d7FxOa1wO23nM63mOoPMHQZD3wxl9VhZ3wrIWcbBhFMU0dIncWsoeTLoafCIRSL8eTI/eCM6sGL5uymoOCKyZzdhMrckbnQrMPJj9eHk6/dgLPfka82DgwBBaOBBR9XDSAoof/EDHydy0Qac3t1z+/EK2h8ahWM9GZrYhBwOT6q/d5UfGUQYI7wez3P6Mk/aRN9YH1+jPQeDlJECBVdCn51uvXI7/lfU1xNWxuR0llLX0YJMywVAhY4ANeP6FsQBAQfUh/20FIbHQheTN+RuYmzt9+p8NSNuov84KH256z167Tdma3c9q6cyafz3S2rnMet+eq3l++06P+m6b2k/Jm20sCg17CxxeS7nNSh8MEsqpKpi87BhMXXxP/vcHEFnNroicLGyP35jN/IgOXTqZXTh+613bvP1Jas07bYxZvOh4KD1oS015+LhImS04jbAQVvT1I=,dBk6KiUoMnJ6EBpsZ20AYGZ9bRAwSSMgJWVjEB99Yw==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
40,问答题,材料工程,pN3hptjrpN3kyMf8sey4ttTnsfTEx+nIv9bOAGxwudb3t7DJuqfBo/3Fq7z8oOHnyO7vq8P4o66hh9nlhubIxs/FrMyml97thtfAxNTsjO3ohfDhrobtht6JGApWFg3cpYdCABRZRxXEqqTfqqkVr4EU0KvZ1ae9hOnSoMbFp/HJuv+IrcbbpKjVrtrlo/ipqv3sZWUWZHC51vdyDWFhFHVsqNrSx87BvuKSqNX0rvXByKjzjtL+mvKFotrmrKPFjdnii8eItvPhjOnygsvF0tvzgo+E1dyayI+Q1/qC0cX40J2o14S4yoff1JWZ1emABAFSjv7Mof/Xpcr3r5jJpNvuyND1oOnArI/5rfHmu6fLtd7apMmAotOi,p8rhq8vwru7HGHRx,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
41,问答题,数学,qsXNq9HcpenuxPzKs8iZtvbOs9r9x+bOufnIUx9ke3cyDBNqexN7B2g6EBJ/fCt/E39zfKrOx8uoyob6yZfzk6HD5qOIy4fL9IXoirbrzYPjzYrtzd3FzIOdotfZjMqGjdbZstPJ0dCDo9+itGbS+7fRuKaEsInZ7uKn3vqgyM8=,CWVwY3x0bmQ=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
42,问答题,计算机,p9nmptPzqfzxxPzsu/2stsXas/bUxtLFsdr/yPb/tt3utpjrtJvfqcTxqbrQrM/6ye3Wr8nMopW5hubUhcr5xfv1r9OAnfL0h/72xef8j/jthv7vBtXY7o6VudXVscmOuNbZtNHP+NK3vdCNh8q32EDRsIqEv6TZzMCl69mmz/ek2vvI+v+x2p638OKz48vE9u+xx+vH29S22cG1v+y7l/+q1PmroOim2NbF1PCo8eOjp6CF/eeG6P3I+eyv2aOR4diK29LEzv2B0fGGy8+nr9SN2r/egcXVsbzQpNLItN2GjafeorzZtKWEu4LYjO3UiLeG3OKgweys9uS314gLaWVox8nMqcL6rbf6oNDAt4/4tOv+p9avpeuEtPTrr9uQscXkvJ/Upu3FqOq6yN3ii/P+nrv/sMPkz8Tqgdf8jZ3ihfHKh+LQtP+Qgs3y24awSdanldCC98ucwIerptaEsdOtt4mcg96nz9WpmYbZz6Dy1q3I5LfOlqD6wqSh1KDh66vepKjY96HplqXo26r92sXn0cnJ3KTB+MXP+7/OpKr06q/b9cGc74TX0pvkgqLO96ON8Y3Z54Xwgrbzz4Py6oDN6d7b/46cudXJkMqUmNfiitP75tOuvN2+hcmN6taQutb8stCLxIft0ajV2Kvy8KKi56Tx0MXzzqvp1KGs2KHuzrW6xRQ5LyohVDMyxsv4pPblx87Bv/q3qf3ZpvLayI3HhMrlleOkoc79oZ/ThOnphsW1tv/Bgdbjgenr3//cgam81MyzyqO51+KK0vzD0ZaP3IC7wonpXtCPvg/Xr7WH5PGi/fin8ci65IWj78Onk8av1dGq/LCm+s2g9q2nzdKg+/TE+fbG8PCn0vrE6N2/zqSpzcms8+fNoOGJwdaWx72h+eihu+aFyPqH04i32+KM+c2M89nV2PhX3IS6gquC0KaXh4CshP6dxYah3pCa0vu305mnh4Og3t76cKryyqDy2LTrl6Pvw6eTxq/V0angrajY1KDohqfI/6DlyMXxws/s16f65sbQyrforKrS5KzD0Mia84fy4ZXmja/i5qO6/IXL+YXbuLfbxIDD+4DN6d/a6oOXotbLisughtTikdzt4dC2jdyFrMqv5da1sNjPjtqN7ont8qr43Kr61Ky0wKTc6s/vxKf6+6Gr8aDmw7SN5bfh/qb8t6fgtbb69K7VtrHZ8LK846fu0anfqsfO9YjA+p2Y6rbJxg==,p+jWptTlbXIECCkdJzBSJzMTOSMjACBlCiY2TzVwDCkuNXwtPEdwIjxg,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
43,问答题,计算机,quvwq+bsperLxPzrs8uWtcjOs9n0xtLFs/Xdx9vUFAMAvZzNu6PtqeXWq6bnoPbOyODjpOHOCRNbED0HD1ICEGtkNBoKl97/HYbVvrfbxIHV2IPVzt3/2o+xg9T+txnRi7yGlZmI4YjItb3doIbQxZTQjb6GnbzV2O+m/eqn8OdxL6ScyKflw8j87QsTDaO6yqDy4reQzrPQxw==,c3Q=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
44,问答题,计算机,pf7Xps/3perLxfjhstaAttjesPTixtPGs97sAAZ4BmlhFwxhJAm/8M2s3Kyw/diwmOWpzvCn3qgAN0GM6/RZdqjpxaKR+ofV6EM8Dbrk5YL054LT+N/s8IO7vtXso8mNktXah938/NKEg9CHrsS1+9apoNf7tNOt4oTyyqvK+q7B0KOf3aXs68nE5qb31KGv4aHt4Lug27jvwqfOoKTjsbj8wq7aiLHhwrGQ3qjg6D1oWsb/4YvF1Z+Vxnqv2KCd0uqL6trF9MCM492M2c6nicyE4rzXj+jXkJXTrcrIr/+FmLnfpJTZupuIkazRp9fZqbGKx8OtzsCg1NC016Ch3Nuno9atyeCr3qSo/cat7bunx+as1ubF5d7Gzc6k8+jD1Me924aq6tqm8snKncOE4c6WwoWj6PajtNCL/+GF9Je0zf6D3faK7c3e2eSPr7jbwrLJiqvZzazQ3//Ti7vftrcc0P2b04yphJ6v1vjlpNL4qt/5pPbGxtnDsfuGts7Ks/3Gxcn/sOjxx+D+t+jVtIHJsKDS,DW0SLycqH2FrTm0=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
45,选择题,生物,pv3FpsDapNf4xP7PAyRJICUuOyKjh8Ot4u26jvu/7M0mN1Isc1A8LTIkblQ8IDcmWaDyxa7UwcaH4Ybs2JbBja7B0KyP14X/6oXwgrzf80UvTUW25reM1s7blomDqanTlomHkreH+prLrpHerLLd4qnctL6Gi7PZ4f+m/eOm5dWkzuPE/s+z+qa7y9Gz7PzE9uix39bFx+O169u3u+G2jcCj/cEgVTcpPTVSbyopPSs3Q0kNAAAVAZaczrDV7MfD5I3t/Y2l1YvK54rbyLbbvoDa69altIOepNC+t4uouUEgGw3cjbTVvb2Erb/Sv/DYt4OF8cSt4Pmn8ck/JFMlKDdhRDY+KjkjNE0rKyJlJkgkPyI8ru6pp8ePtsDArfSms+LVvJTnpuLzbgYAAITG44nG0cT/+KzLsZ/2+on57Mr54ozq9obq/qWBwYbak9Gz9tSWrNOc8smPwo2JodG4tNSQpomHnNOIzNW6oIX13aLUx6/nwLfEuKLW9KeTxqzz9aXEsqn+z6D/sKXr82UFfACk5qy13Mms0Kuxysm8ov2p3M+m65TG+86L/sidmskdKCpTWCYXBwYbTjuG9c2I1tK5wryB+f3Ug7WMsLPdtauKrrqF2pjIhbjdgbjS+7fRma6Imrk=,Bg==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
46,选择题,生物,pNLPp/bqp9jaxcz3stmPtNzQssXtxPbvsvjBxc7BuMfzup/GtIjbqPnkp6fZrf7Vx9XKpPnNo6CHhf3UhPrPz/vZrfyrneryiP/hyNbQj/Lvh9v2p7D1h+6F36ng24KB0IL3yYzMi6G00ZeX17exh6ub2Iz7EHQfh/3qoMHSoM/zuvSno+nfpZj+p/PZpOqYq+HMoummqdPOoMTlxt3ax8v0pNnCx87BvdymqsLar/PZxqPejtLtlsSmoujaoaXOht3Dh9Ctt9vDgtXljdLf3+vzgaen1uy1yLmg1PKj293u3a6E3ZyvxLX724uw1fGh0KDKhNnxp8Hzpf7DrJvCqdffxdzZqtL2oqrfoN7ztKDmtO/kpN2Xru+stsbQrMaWsdTwsbv7qffPpsawxd7DiOninrv/sNnIx+LmgObljaHFhNLjhuD7cXB4Sof6m9+W+tSWutGK5sqP5oe6vNG6itiSsoabv9OIzN+JvYXE3KL1zK3EzLb2s6P60qmjzaHPz6T7pwAqIiY6xP7xtcr2u6Dbu5f/qsvYq6jioMn8xdT6qPHEorSOhNroifHnxdfEruG+n9nqidjuxdD9jO3ohunHYQsnTIOvkHsNQ11a0o7DyLvWi7W30Y+X1JWYjo+40azb1peBht7joMH0rcLuu8u6rP7TqZDQoMXXGCVaqPHto9KHpevboO7uxdD7xcv4pvLIyNfbvcWdp/HcofPpy6z1JUCEz+rFz9OsyLaf2eOG4PbI3PSM7d6F6M6lhsCH6aLfp/vWqr7Si8PLo9eNiaHcvY7VvJ2EqIDestrYiqCF2sStzd2v18W32p2s/sSlmN6s88+py7Gp0cmjxpmk38g=,Bg==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
47,选择题,生物,p/jspcjMpN3ax9Des/WAvPTHOCM2UCYqMSA8z/3Ztt3utpjBtJHrqtHzq5jyoN7nxeHUq/LIra2+hunohP7vxtHsrNSxn/ndi+bbyezCj+TBhP/VpLXLhO+a3qbH1KSc3oXKwojtho2m3LCv2a28iJKN04jM1I28h9DcofTNrfDjtMuhoc7FprTMr/v1Dglwq8/JrdGdpsrUo9n9z/3JABFipNXmyNbnvOmzqvPur87Ey5vZh+bxleOkr+rOo4jzht3DjNShu9PqjeThge/m0ubAgam81fqyy7WRESAD0Nz+0ZWD3b+7yY/A25uG1c6M0Y7DhM3yof/EqNH9rqrspu/HyNDWqtLHoJrvoszBt6/Qt8TaYREOpeuuud7Yof6jvN7Ts7nyofDBDSRjz9/oi+TDnLDLsfTYx+zKitLvga3Ji9bihsLNuf+Egtf11oKVg6mp0Y68h724jt65yL+L3Z630P2D3aywhKas1vjlp/jspcjMBXyvndil7PvI/Pmq+vCgn++g2fK9nM24//Sk/Zyk97a4z9us/6Kxzd6xrNmq9POp4LDH2O6Jz9OdmMmy7NrHw+2A29ePltWL6vs=,Bg==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
48,问答题,材料工程,p/XIp/DNpvXGAHFxdDZUdmimwMGrnMYLP6ruqaPQw3Bxclc1dgC5392m8qgXMLfoqajUyKzezcen8oXV71JIFHdlq8Cjl97tXFZdHZHTL4rS6oLt0tzhwIO1j9bph8WyhRFTHwRRgLGu1oSwAhwMUfGEcd/dudax4EFqJGdjr+HttvOgodruprvrrdP9qP+gqvzeo+qJpOr2oPzwxsnDz+zEpMTbxOnIvsWkqf7DrPTjwZzqjtL+UlFCbnWh64Wd+d+J+NDKyeeP7f6G7denosuG3bPciuzckaoWGQEEFIfUh8mEq92shdHas9COuIeInNTYx6frwqbN5aTV1sXf+7v9qLbF2rHxycbfwbD13cX79r/5yL2c3nMINGVhr9KgsdXWsanmqvHQqPOcx/jZifv2n6jXsMHCxuDNgdXjjJTbjNX6,c3Z/dmRtd2FrVzBkdA9JscjcZntkVzpgdgYnDGFhYnNxfgByawAnOGRpAEm2xctiEm85OGxuBls=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
49,问答题,材料工程,pv3Op/DnqebjycPOsPmac3phZWyhrc2g086xoMC22NWk2qal65pwdHRpOVRxZbHHpaDyxBksqpKpQ0xOUEdZVzNwaa202Y3Z5jAGwu/qjv/qhvXZqL31ismm3pPT24+e07vCyrfMh72dGQoIAM+x4tyIvwNYAPeBJI7+zKH/06jd+qOP4afs6MXp7qvtx6ucwqD4xreOzbXV7afKj2GdkXCr2vGru+6j4uLE8t2vycytiKGH3NGE4vHJwMSuwrSd7vOL69jJ6+OM6OSH3eunjNaE5rLXj+jWopPSieLIueuGjZcZ9okQyq7Z1K6z1+uG07HjgsLHpvzRqM79r5vhqNTbyOzPqt/so6PjoMbNu6fQv+zJp9q2qdOltdDprfG9ssnZspjmq/bvqv2jxez5ifv2n6PCsM/xxMDpg/rajaLLhuzTiOv1tMm8gv/D1patg72d1razh7GcQVAFHdu8u9a6g46PuN6s4diTsIfx02V8bXhtpN/IxcHKs9uku+fas+zzxPbos8/yxcT1teHbt5DQurTxqsjEpqPprebqxcf+pPbXoomthOvYh/L4z/vdrMm1nN/oi+7ryNbohtnnjNnO,cmt4dn5/dA==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
50,问答题,计算机,GKHx4qHM0rXRpKz/x6Sl9q3d2aT6s6vC7KD/t6f/3a3g+sXc1MTo9mEyfgx0dCW7nMOryf+q+o/J4vKJ9cOdm+Kx8c/Ixc6CydiOi9GE5+KJ/My42Y+C7enbh4OLj7dubQBODQQ8ThV2ZVlUQEVUTRMFGmwAXEVZAzwfa26r5v2l7/TF+ta87oW39+68zdfI8PuzzeLFxOa16/i7p860utSk/9qrpfGg0NLF982o8fQVzaDhie7imuCxoujarJ7rh+DLhfSgt9jngPPkgN3B3+zkg4u73Ni/yLiFYRAFbFxSHA0EGGhCBW1cAh0XDUEAGwSE9vSq8s+hzdu69Kes7vGln/Khzsar3qSq/8Sh7YGn0f+q/drE/vLG0eOl9e7I6ta/2qeg8sUAZh0VADpIgd3+nJDBvebhxfjegdbtgJPAhuzAiP/otfq0NIfutd2L59W6g9Gr5sia2IuyotGHo9iMuYecoN+O4t+JvYrO9aL12q3K+7f2sxggODFIMmgTPCJke35pZxi0t/e/7Mml75+mx4i10caswqC8+8uxpeqrxM+r/a3H+NmLzsudmsmw5/3J/+2D8uOMkcuG4eOL2+a3yLqC7/nWnIKDqanRiZCErJuF3pXFh6vfvqrS+I3Rv7aHn6HW+OWk2c6m7Oqk0vfP+M2z85606eGwxPTF/sqw0OLHw+m11c+2mOW3nd0=,d2t5dg==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
51,问答题,计算机,p8TJq+bzp/3ExPzrstSQtcXhsNHTxeris/XdxPnqcHRxYBRhto3HpMvLoZzYo/fbxPfkqdTZoKGXhuzOhubRAHN1rOm3kOjnjePqxfzUgPLAjNndpYLehty13rra1qWF0arMyIn0i5SUGRdNQ1/a3b/Sq7CElK/Y/uGq48+qycCk3M3F4Nux8bG38OWz2fTGw+uz2MXP/c+0/cy7vMG7htGkwcqmucWg9srJ1sur0uCgk7WGxcmEwvbP+9msy4qQ4uaG+vnKw+WBy9SF5tSkvNGB5rE=,c3N2d3t9c2I=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
52,问答题,材料工程,qsXNq9HcperLxPzrs9WRutXtsPPHx+XOsNPrz/3YNmsifENvvJzZqczcqLnioNDixsfeq9PKo5iBi9zAhP3Px87SqsSikOnAhszNyNzVjuzphvn5YWFXUVduGNXyisilp9Xap9P75tCgrNCFhMiE6dWoutXditCLxIX6/25xeH1hHxtBq/3YpKHUoOHrbBdDJig/IXLF78q1+8q0qNG0i9uj/cWokdag3eLE9/qr3MKgpqaLxs2E+9PF/cGszruX3u2J0dbK8s2M7d5RgezM39TtgKaI3Ni/yLij1d+g0NnYeH1YEQ==,enBgenw=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
53,问答题,材料工程,pv3OptXaqMHWxcnUstiWu+rksMTyxsbVsM7bxP3otubTvZzNtqXmqtj/qp3Ho87txd/fbBJ9ZRwAPwMPEwlIXRp1rfyununsit/Qxe7XjMrXitjBorrmh/qb3oHbE3YGFgNCcVYAEE4cRGUY1ruMhKOl0abc1b+RhOrLofL7r9fFtMilocfhpZjYp/PZpOuFqP7HovWbpuProfnYx9vXxdnmpPPaxd7evOyuqcXFrfL9y5r3hOT6leOkofrdoaDEhP3Bhsy3ttP4itL8guP/3cXMg7uI1tS8y6CG1uCU0fHs0ZWw3IW9,cmt6dX4=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
